seed,variant,variant_label,network_treatment,network_architecture,network_depth,network_max_width,network_hidden_units,policy_network_type,advantage_network_type,baseline_network_type,policy_network_parameters,advantage_network_parameters_per_player,baseline_network_parameters_per_player,total_network_parameters,iteration,nodes_touched,wall_clock_seconds,cumulative_traversal_seconds,cumulative_advantage_training_seconds,cumulative_baseline_training_seconds,cumulative_policy_training_seconds,cumulative_supervised_training_seconds,cumulative_parallel_sync_seconds,cumulative_replay_refresh_seconds,learning_rate,nash_conv,exploitability,policy_value_player_0,average_policy_value,policy_value_error,average_policy_value_error,policy_loss,advantage_loss_player_0,advantage_loss_player_1,baseline_loss_player_0,baseline_loss_player_1,advantage_grad_norm_player_0,advantage_grad_norm_player_1,baseline_grad_norm_player_0,baseline_grad_norm_player_1,policy_grad_norm,policy_training_events,policy_gradient_steps_total,strategy_buffer_size,advantage_buffer_size_player_0,advantage_buffer_size_player_1,baseline_buffer_size_player_0,baseline_buffer_size_player_1,legal_action_mass_mean,legal_action_mass_min,policy_entropy_mean,advantage_target_count_sampled,advantage_target_mean,advantage_target_variance,advantage_target_abs_mean,importance_weight_mean,importance_weight_std,processed_advantage_target_mean_player_0,processed_advantage_target_variance_player_0,processed_advantage_target_abs_mean_player_0,target_standardization_mean_player_0,target_standardization_scale_player_0,target_clip_fraction_player_0,processed_advantage_target_mean_player_1,processed_advantage_target_variance_player_1,processed_advantage_target_abs_mean_player_1,target_standardization_mean_player_1,target_standardization_scale_player_1,target_clip_fraction_player_1,baseline_reward_mean_sampled,baseline_reward_variance_sampled
1234,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,25,50805,1185.0227466849974,12.943887855006324,9.298667899995053,1161.760203144011,0.3825664489995688,1171.4414374930057,0.0,0.0,0.003,3.7390389834311084,1.8695194917155542,-0.1460294984220315,-0.1460294984220315,0.0604234984220315,0.0604234984220315,1.0407811403274536,1656.35205078125,3861.4326171875,6.776498794555664,5.123168468475342,136.47790756549682,189.32936613534673,5.847639096269215,6.147350599760735,0.4173017353415447,1,100,34805,9649,7737,17350,17455,0.732535197166726,0.05675989016890526,0.2860906159536706,30000,-0.21092815058336903,306.57188353607506,3.5933116147433095,1.005573001353451,0.0973512733180289,-0.30650293827056885,115.08916473388672,2.8315842151641846,0.0,1.0,0.0,-0.6539031863212585,447.0343017578125,4.467980861663818,0.0,1.0,0.0,0.0708,7.44698736
1234,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,50,103225,2430.418431936996,26.473706178985594,20.734981137982686,2381.1565808450105,0.7629904450004688,2402.6545524279936,0.0,0.0,0.003,2.834766277575868,1.417383138787934,-0.14461270108968238,-0.14461270108968238,0.05900670108968238,0.05900670108968238,2.0840821266174316,2433.67578125,17236.884765625,6.2828545570373535,6.359116554260254,250.99565674223115,589.6942119357352,4.559215601091068,5.694917925931185,1.2213510054230055,2,200,71225,19826,15844,35658,35567,0.7011189134500455,0.10970430076122284,0.23384380074464717,30000,-0.2637662119212871,322.1358471412905,3.512305753695406,1.0042108845490687,0.10392472050282144,-0.30620354413986206,191.9672393798828,3.103132963180542,0.0,1.0,0.0,-0.8214974403381348,623.0537719726562,4.0947489738464355,0.0,1.0,0.0,-0.0302,6.357287960000001
1234,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,75,155016,3682.2720040119966,39.92628495999088,32.45910950396501,3606.8073153460064,1.1385537129972363,3640.4049785629686,0.0,0.0,0.003,2.3577191835835403,1.1788595917917701,-0.07833170183293492,-0.07833170183293492,0.0072742981670650825,0.0072742981670650825,2.638864278793335,19632.705078125,10388.7314453125,6.377501487731934,6.219869613647461,408.06335721411796,391.19535637076433,3.4935928019159013,4.97060528458844,2.1501486913224044,3,300,107016,30003,23539,53584,53432,0.7457504315352708,0.19357089698314667,0.1887526533263862,30000,-0.2968705584551518,277.8687833041473,3.377682292371802,1.003612501519774,0.11108068407251803,0.15030258893966675,419.9925842285156,3.5473549365997314,0.0,1.0,0.0,-0.6369155645370483,250.7686004638672,3.472792863845825,0.0,1.0,0.0,0.0051,6.05727399
1234,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,100,206823,4927.339917175996,52.9874332370091,44.066844813976786,4826.184893816004,1.505938205998973,4871.7576768359795,0.0,0.0,0.003,1.9951971484826347,0.9975985742413174,-0.09508013574056151,-0.09508013574056151,0.00947413574056151,0.00947413574056151,3.272806167602539,9374.79296875,11873.8701171875,5.662247657775879,5.12272834777832,447.7008630130667,455.12250070960505,3.8016380380400845,4.681979253667236,2.6780753065303693,4,400,142823,40111,31354,71541,71282,0.8141848290106282,0.17335301637649536,0.3221933124993986,30000,-0.2795640626489806,294.97296870250887,3.3030032687813975,1.004468114653063,0.10078744108866654,-0.5120258331298828,150.7711181640625,3.0464937686920166,0.0,1.0,0.0,-0.7866408228874207,304.6788024902344,3.657355546951294,0.0,1.0,0.0,-0.013,6.170031000000001
1234,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,125,257985,6178.285694644997,65.88057875098457,55.66777670397278,6051.615113115957,1.8804894740023883,6109.163379293932,0.0,0.0,0.003,1.8825452475045488,0.9412726237522744,-0.19032917689615958,-0.19032917689615958,0.10472317689615958,0.10472317689615958,3.8919827938079834,19440.337890625,19256.375,6.570716857910156,5.029829978942871,628.491681726297,496.2774623083944,6.843260663046791,3.131761036963557,2.8522743393944148,5,500,177985,50230,38797,89123,88862,0.8147670319012832,0.10688476264476776,0.31931264494516354,30000,-0.4142966115173263,319.0378885831084,3.4289232842651507,1.0027475296386967,0.1086419897972882,0.11863873153924942,335.44720458984375,3.315162420272827,0.0,1.0,0.0,-0.7919723391532898,535.2636108398438,4.052204608917236,0.0,1.0,0.0,-0.0044,6.142180640000001
1234,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,150,308345,7424.303695745002,78.44551183200383,67.14736836194788,7272.590040845971,2.2411071419992368,7341.978516349918,0.0,0.0,0.003,1.719296516015466,0.859648258007733,-0.24202684730247867,-0.24202684730247867,0.15642084730247868,0.15642084730247868,4.881746768951416,78226.1640625,23479.7734375,5.16195011138916,6.151683330535889,1674.5496011602522,494.9499770543378,4.360707209591147,5.372151108906852,3.8851220293449362,6,600,212345,59956,46214,106285,106060,0.8271472743072081,0.14990945160388947,0.23035615972945114,30000,-0.45642478954829274,284.97164816892735,3.2535301915924064,1.0030238505498112,0.10520292315984484,-0.2500954866409302,844.6976928710938,4.543232440948486,0.0,1.0,0.0,-0.3026936650276184,274.1485290527344,3.6292545795440674,0.0,1.0,0.0,-0.0369,5.692738390000001
1234,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,175,361074,8676.068480087,91.86597736101976,78.55419616698782,8498.508215043992,2.614693700998032,8579.677104911978,0.0,0.0,0.003,1.5443339074664526,0.7721669537332263,-0.2259957176263946,-0.2259957176263946,0.14038971762639457,0.14038971762639457,4.980893611907959,26404.896484375,32128.017578125,4.443783760070801,4.320705890655518,563.5189182426078,675.7368340615394,4.16032239934457,3.08233829560132,4.03069682405543,7,700,249074,70698,53849,124661,124413,0.8302970183722209,0.21808284521102905,0.33261575120453046,30000,-0.3982437194408228,222.4137544352204,3.1778816194176986,1.003861276500386,0.10209687781719155,-0.5695750117301941,338.3894958496094,3.1945879459381104,0.0,1.0,0.0,-0.5326457619667053,302.4391784667969,3.7073333263397217,0.0,1.0,0.0,-0.0393,6.331755509999998
2025,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,25,51119,1193.8338918910013,13.017578229999344,9.579021444013051,1170.2296127339796,0.3671531530053471,1180.175787330998,0.0,0.0,0.003,3.147437615218913,1.5737188076094566,-0.2744888030110147,-0.2744888030110147,0.18888280301101468,0.18888280301101468,1.021140694618225,3331.855712890625,1796.3968505859375,4.964925289154053,5.425577163696289,238.62854226774087,288.53002981061053,6.445988151872514,4.825578813063062,0.597723950128433,1,100,35119,10098,7562,17679,17440,0.7320640291000018,0.1273646503686905,0.32120431468029004,30000,-0.18314883518985783,302.12985157866706,3.5087351086110186,1.0027667931191695,0.11721064016926033,0.07443658262491226,295.5960693359375,3.1916821002960205,0.0,1.0,0.0,-0.03177748993039131,152.9917755126953,3.1642720699310303,0.0,1.0,0.0,-0.0495,6.1586497499999995
2025,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,50,103386,2432.1269899069957,26.209555138986616,20.881197043010616,2383.0095443549726,0.7414827850006986,2404.632224182984,0.0,0.0,0.003,2.533113076408006,1.266556538204003,-0.11585836488806289,-0.11585836488806289,0.03025236488806289,0.03025236488806289,1.8172613382339478,4575.81201171875,10004.1923828125,6.503841876983643,5.209775924682617,433.6097536931952,219.31824627932335,6.117052287299578,5.070362549806035,1.1838378716265636,2,200,71386,20669,15102,35834,35552,0.8315015546540963,0.14968642592430115,0.32809577848635785,30000,-0.36296324051658935,299.68058659008267,3.4799932029085543,1.0029401871227948,0.12003481825845974,-0.7626741528511047,191.86705017089844,3.176408529281616,0.0,1.0,0.0,-0.470736026763916,404.2371826171875,3.73295521736145,0.0,1.0,0.0,-0.0243,6.431309509999999
2025,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,75,151264,3673.638266199996,38.062331721012015,32.53445399901102,3599.9899261169776,1.1155910820016288,3633.6399711979902,0.0,0.0,0.003,2.0971040316999714,1.0485520158499857,-0.09377464636712429,-0.09377464636712429,0.008168646367124291,0.008168646367124291,2.4774858951568604,11886.7744140625,18167.828125,5.00313663482666,5.120007514953613,872.155172340949,881.0719161374528,6.643264467534265,3.901489967405209,1.1917638120085605,3,300,103264,29607,22071,51763,51501,0.7903625380713493,0.15859779715538025,0.2729724123310274,30000,-0.49595369111876936,320.91883035691575,3.4250438672676062,1.0032648508663622,0.11424912336291945,-0.09961727261543274,444.9010314941406,3.5233516693115234,0.0,1.0,0.0,-0.8750655651092529,398.4720764160156,3.706587553024292,0.0,1.0,0.0,0.0253,6.135659909999999
